First	Second	
136	60	
62	27	
85	37	
219	*	
71	48	
9	*	
9	164	
23	108	
52	101	
77	59	
101	*	Not out
4	41	
10	67	
61	5	
11	19	
5	4	
12	19	
58	*	
0	15	
61	2	
26	76	
59	164	
94	35	
13	60	
56	35	
11	100	
2	16	
42	43	
15	26	
19	3	
7	34	
13	42	
20	46	Not out
1	7	
82	*	
50	*	
13	3	
124	9	
111	*	
28	28	
27	*	
19	4	
70	8	
64	142	Not out
27	*	
53	*	
170	*	
7	27	
62	38	
70	14	
1	12	
0	0	
69	5	Not out
32	*	
59	58	
9	19	
49	113	
90	13	
9	52	
55	*	
37	5	
2	30	
8	*	
