Time	Blue	BlueSD	Red	RedSD
202.6394	0.2112	0.1272	0.3176	0.1276
205.8031	NA	NA	0.1413	0.1292
206.8188	NA	NA	-0.08673	0.09341
210.8221	0.01298	0.256	-0.2878	0.3144
212.6808	-0.06244	-0.3077	0.6196	-0.3111
218.7859	-0.0494	0.06958	-0.1017	0.08041
220.786	0.3231	0.09565	0.2117	0.09747
228.7827	-0.3667	0.3454	0.8189	0.331
231.714	-0.2587	0.08869	-0.003219	0.09286
232.6846	-0.006426	0.05046	-0.01145	0.05283
233.7671	-0.06846	0.05978	-0.0472	0.06286
259.6217	-0.2979	0.06925	-0.2119	0.07127
261.6273	0.2314	0.08568	0.1112	0.08636
262.5943	0.07547	0.0642	0.08193	0.06361
264.6582	0.6353	0.1702	0.1744	0.1685
265.7131	-0.077	0.06006	0.0266	0.06128
269.7503	-0.1386	0.08182	-0.04633	0.08017
271.7191	0.2303	0.1225	0.277	0.1236
272.7448	-0.06675	0.05571	0.06218	0.05866
273.7469	-0.2689	0.09081	-0.06201	0.08995
278.7836	8.532	2.111	NA	NA
283.5652	-0.1481	0.123	-0.05158	0.1005
284.5511	-0.3094	0.1301	-0.09843	0.1103
285.4362	-0.1857	0.06181	-0.2651	0.05911
285.693	-0.1946	0.04735	-0.09176	0.04773
286.5546	-0.141	0.0621	-0.08336	0.06213
291.7357	0.4269	0.107	0.2665	0.118
292.5877	0.21	0.2002	0.2017	0.1999
293.6715	-0.1796	0.06376	-0.08505	0.06449
293.7506	-0.1496	0.09474	0.01438	0.0982
294.5096	0.1355	0.05266	0.06807	0.05141
295.7013	0.2624	0.0391	0.1122	0.04003
296.5125	-0.2216	0.04437	-0.1477	0.04555
297.4862	0.2371	0.05628	-0.02591	0.05727
300.7126	-0.1551	0.03992	-0.1001	0.04332
304.4535	-0.0787	0.1279	-0.2234	0.1264
305.4896	0.2462	0.05452	0.2229	0.05243
306.4374	0.02802	-0.1296	-0.03306	-0.1192
306.4511	0.3256	0.103	0.154	0.09596
307.4409	0.1036	0.2546	-0.1009	0.2363
308.4389	-0.1774	0.1127	-0.1334	0.106
308.6292	0.1076	0.04846	0.08793	0.0457
310.4683	-0.6041	0.6462	NA	NA
310.5928	-0.2202	0.06981	-0.2563	0.06117
310.7494	0.2212	0.05771	0.07795	0.06628
312.5967	0.1967	0.2211	0.0428	0.2089
314.6039	-0.1998	0.1993	0.4798	0.2014
315.4668	-0.1961	0.06831	-0.2009	0.07081
316.4994	0.08843	0.06887	0.2139	0.07137
316.6567	-0.06416	0.07867	-0.02681	0.08358
318.5558	-0.3344	0.1004	-0.06718	0.1005
318.6804	0.3268	0.06855	-0.009625	0.0698
324.5894	0.2612	0.1775	0.3759	0.1822
324.5941	0.02991	0.1865	0.4555	0.1994
324.7176	-0.1218	0.1413	-0.1286	0.1482
325.6433	-0.247	0.03033	-0.1898	0.03403
326.4927	-0.1887	0.04048	-0.1017	0.04008
341.643	-0.2532	0.1325	0.06121	0.1376
342.478	-0.1983	0.1246	-0.1149	0.1189
342.6168	0.2023	0.1142	0.27	0.116
342.7223	0.003691	0.07891	0.09094	0.08676
343.4732	-0.2815	0.08201	-0.08841	0.07995
343.5964	0.03371	0.07846	0.2491	0.08016
343.7339	-0.03706	0.1346	-0.206	0.1605
344.694	-0.3177	0.08913	-0.008712	0.09145
344.7354	0.1513	0.07182	-0.05507	0.07344
351.5233	0.04136	0.0866	0.2817	0.09845
361.4724	-0.1096	0.05315	0.03324	0.05522
